,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,cluster_9,cluster_14,hot_or_not
65FftemJ1DbbZ45DUfHJXE,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,212253,3,2,3,H
1eIXYZWEfJO3Na2LCCnIJE,0.707,0.261,9,-10.139,0,0.0784,0.853,0.0,0.127,0.545,65.038,183893,1,0,0,H
1lRtH4FszTrwwlK5gTSbXO,0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,174943,3,2,3,H
1rydhdFtKe2CRkiaVb7aGF,0.302,0.557,9,-5.737,0,0.0326,0.063,0.344,0.118,0.103,113.563,411912,1,5,8,H
5Jwcv2Le3Klwgrgyqa12ZA,0.623,0.466,11,-7.6,1,0.0265,0.0421,1.45e-06,0.0996,0.272,81.98,225813,0,5,9,H
6BQrmjAgPfPTwILoFEK3Hd,0.467,0.624,10,-8.511,0,0.0508,0.143,0.000899,0.145,0.31,141.889,225947,3,5,12,H
2mnXxnrX5vCGolNkaFvVeM,0.887,0.234,9,-14.52,1,0.178,0.111,0.67,0.13,0.197,140.02,196800,6,7,11,H
2Hh3ETdQKrmSI3QS0hme7g,0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,199920,3,5,12,H
5gAwpwuchaCGnJLlBMGBzp,0.806,0.64,11,-7.398,0,0.317,0.0864,0.0,0.201,0.716,160.054,213206,4,8,10,H
6TBzRwnX2oYd8aOrOuyK1p,0.699,0.541,0,-4.943,1,0.0826,0.0628,0.0,0.0916,0.365,98.395,224921,5,4,7,H
7GeTsDIc5ykNB6lORO6Cee,0.734,0.605,1,-8.476,1,0.0699,0.0102,0.0,0.317,0.252,103.976,236795,5,4,7,H
6kCFt2ATuMIE5H9zVEJXei,0.522,0.801,5,-5.424,1,0.1,0.224,0.0,0.301,0.491,155.928,189307,0,1,5,H
40V9sT2iWVgRa6b6JVGEq1,0.88,0.746,10,-3.381,0,0.124,0.0129,0.0,0.105,0.315,130.045,165479,3,2,3,H
3r8RuvgbX9s7ammBn07D3W,0.814,0.641,6,-5.957,0,0.111,0.027,0.0,0.0993,0.183,133.854,185507,3,2,12,H
5AihIu9yF3flkw1jFMyfwW,0.4,0.647,2,-7.279,1,0.0337,0.176,5.79e-05,0.11,0.274,84.08,221520,1,5,7,H
3Ga7Uele3zN57vQ4F0HPTW,0.482,0.847,6,-4.741,1,0.0317,0.081,0.0,0.0832,0.592,76.01,198255,0,1,9,H
3fNMgjG8yXaSam46swhz7w,0.679,0.769,0,-3.539,1,0.24,0.0537,0.0,0.309,0.424,130.094,177231,5,4,7,H
6ug9fUi5oLLgQgOF1G8WkM,0.738,0.666,5,-6.97,0,0.455,0.00361,0.0,0.107,0.215,161.734,177789,4,8,10,H
2lNTHWu2I5Tcz9ukWsV5Jj,0.557,0.597,5,-8.296,1,0.048,0.646,0.0,0.0974,0.414,78.526,175238,1,0,0,H
1zsPaEkglFvxjAhrM8yhpr,0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,196600,4,8,10,H
54ELExv56KCAB4UP9cOCzC,0.892,0.662,8,-3.894,1,0.162,0.169,1.24e-06,0.363,0.607,93.976,227013,2,1,9,H
7EAMXbLcL0qXmciM5SwMh2,0.901,0.136,8,-16.127,0,0.102,0.667,0.354,0.109,0.643,150.076,211140,1,0,0,H
6sZo5nJIsFWXefRCCexpx0,0.668,0.802,5,-4.005,0,0.0917,0.0273,0.0,0.163,0.769,113.796,225789,3,2,2,H
6Z1bV93BP95h4YjIavrQPf,0.655,0.869,7,-4.807,1,0.0633,0.00408,0.0,0.104,0.541,114.984,179645,0,1,9,H
25ZAibhr3bdlMCLmubZDVt,0.639,0.791,10,-4.443,0,0.253,0.0275,0.0,0.362,0.939,92.603,222347,2,2,3,N
59WWulo1LM0njpIkcduCMn,0.877,0.557,9,-9.074,1,0.0911,0.169,0.0,0.265,0.829,152.874,147843,0,1,1,N
0q9Vpg3DLMjm9rx5LnXwXE,0.866,0.448,1,-10.226,1,0.328,0.0492,0.0,0.0784,0.342,119.974,236000,4,8,10,N
5jkFvD4UJrmdoezzT1FRoP,0.639,0.893,9,-6.509,1,0.036,0.289,0.00816,0.222,0.966,126.143,351573,0,1,8,N
3e7sxremeOE3wTySiOhGiP,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,239000,1,5,12,N
5ZjJT7BB8OoVjyRZRYGen8,0.671,0.794,10,-5.16,0,0.0533,0.214,0.000517,0.173,0.763,171.977,240000,3,2,5,N
1tkg4EHVoqnhR6iFEXb60y,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4,8,10,N
5hslUAKq9I9CG2bAulFkHN,0.24,0.598,7,-8.435,1,0.0369,0.766,0.0,0.117,0.776,201.629,151933,1,0,5,N
1GNSWpe2SB30zYGbNTD96b,0.598,0.734,10,-3.982,1,0.116,0.208,0.0,0.272,0.621,179.885,180867,0,1,5,N
0OCRwXbQRdOZ1OtB4Imsp1,0.538,0.409,9,-6.581,0,0.0505,0.172,0.0,0.11,0.265,171.838,205440,3,5,12,N
6KgBpzTuTRPebChN0VTyzV,0.682,0.919,0,-3.18,0,0.0875,0.256,0.0,0.442,0.535,95.982,159736,2,6,2,N
6uMdn1ovj2ZRHGMbiTQAvy,0.708,0.604,7,-8.477,0,0.0489,0.279,0.0,0.14,0.463,140.092,220071,3,2,12,N
3k6n8FdhntF9nzQpVn0OFs,0.938,0.897,9,-6.068,1,0.253,0.128,0.0,0.0887,0.685,128.043,133125,4,1,1,N
0wOsbCajTcYcXy4fpUlPIC,0.484,0.876,6,-4.817,1,0.209,0.365,0.0,0.071,0.755,171.912,206512,0,1,5,N
38SKB7UfhL6Sd6Joxex5yK,0.628,0.64,6,-4.164,0,0.0491,0.0992,0.0,0.138,0.409,129.815,201081,3,2,12,N
3EPXxR3ImUwfayaurPi3cm,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,196373,1,0,0,N
2S8wxDFED8PAo4ZqhyMRh2,0.652,0.621,7,-6.011,1,0.526,0.28,0.0,0.116,0.377,87.767,253133,4,8,10,N
3e7Y6sfFlIdBMJhX7wpqVO,0.824,0.584,10,-7.098,0,0.221,0.0718,0.0,0.106,0.219,139.965,188600,4,8,12,N
7CtbxAGq2P0jtYh6SH9DMR,0.778,0.651,9,-5.421,0,0.266,0.167,0.0,0.177,0.569,100.094,159666,4,8,10,N
1P17dC1amhFzptugyAO7Il,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853,3,2,3,N
2USlegnFJLrVLpoVfPimKB,0.67,0.896,1,-4.673,1,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,5,4,7,N
0Aqi7ArnBrGblW5T6p2jmD,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,3,2,12,N
6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800,3,2,3,N
0QHPrNPQ7lSJUGjJ3z2Brq,0.94,0.492,9,-7.056,0,0.231,0.0805,0.0,0.104,0.775,100.01,201600,4,8,3,N
3vAncbML0jhNrp63DKhsCo,0.604,0.687,0,-5.13,0,0.0327,0.757,0.234,0.0718,0.504,119.992,201659,3,2,2,N
4nK5YrxbMGZstTLbvj6Gxw,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,223480,5,1,1,N
7ndTONDDRFGiPnnhOzOXxq,0.736,0.632,11,-4.939,0,0.0648,0.18,0.0,0.349,0.503,92.03,216107,3,2,3,N
7dODNcz1h6UFj8GHlvRyqP,0.554,0.804,2,-5.957,1,0.0291,0.0473,0.0,0.236,0.739,91.004,315867,5,4,8,N
6b2RcmUt1g9N9mQ3CbjX2Y,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205,3,5,12,N
478g4LSkyMB1PMkVOVmIaE,0.771,0.765,1,-3.887,0,0.0508,0.0487,0.0,0.313,0.66,115.984,263013,3,2,2,N
5N5k9nd479b1xpDZ4usjrg,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,0,1,9,N
54bFM56PmE4YLRnqpW6Tha,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321,3,2,3,N
1ObkdnvGTddLjHmk7jgsFD,0.754,0.58,1,-8.357,0,0.309,0.0749,0.0,0.216,0.47,91.068,350272,4,8,8,N
